| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20120117 || clix || [wiki:r2012compilernames arm-elf-gcc -O2] || 4.3.2 (GCC) || 16808541 || 1704179 || 3904 (13192) || 0 (24) || 32 (2520) || 424(424) || Checksum OK || [wiki:r2012runs_303 Run 303]
|20120120 || clix || [wiki:r2012compilernames arm-elf-gcc -O2] || 4.3.2 (GCC) || 16808541 || 1704179 || 3904 (13192) || 0 (24) || 32 (2520) || 424(424) || Checksum OK || [wiki:r2012runs_304 Run 304]
|20120216 || clix || [wiki:r2012compilernames arm-elf-gcc -O2] || 4.3.2 (GCC) || 16808550 || 1704180 || 3904 (13192) || 0 (24) || 32 (2520) || 424(424) || Checksum OK || [wiki:r2012runs_320 Run 320]
|20120509 || clix || [wiki:r2012compilernames arm-elf-gcc -O2] || 4.3.2 (GCC) || 16808513 || 1704176 || 3904 (13192) || 0 (24) || 32 (2520) || 424(424) || Checksum OK || [wiki:r2012runs_323 Run 323]
|20120510 || clix || [wiki:r2012compilernames arm-elf-gcc -O2] || 4.3.2 (GCC) || 16808516 || 1704176 || 3904 (13192) || 0 (24) || 32 (2520) || 424(424) || Checksum OK || [wiki:r2012runs_324 Run 324]
|20120117 || clix || [wiki:r2012compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || 14187099 || 1433420 || 4356 (14784) || 0 (24) || 32 (2520) || 452(452) || Checksum OK || [wiki:r2012runs_303 Run 303]
|20120120 || clix || [wiki:r2012compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || 14187099 || 1433420 || 4356 (14784) || 0 (24) || 32 (2520) || 452(452) || Checksum OK || [wiki:r2012runs_304 Run 304]
|20120216 || clix || [wiki:r2012compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || 14187106 || 1433421 || 4356 (14784) || 0 (24) || 32 (2520) || 452(452) || Checksum OK || [wiki:r2012runs_320 Run 320]
|20120509 || clix || [wiki:r2012compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || 14187075 || 1433417 || 4356 (14784) || 0 (24) || 32 (2520) || 452(452) || Checksum OK || [wiki:r2012runs_323 Run 323]
|20120510 || clix || [wiki:r2012compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || 14187077 || 1433418 || 4356 (14784) || 0 (24) || 32 (2520) || 452(452) || Checksum OK || [wiki:r2012runs_324 Run 324]
|20120117 || clix || [wiki:r2012compilernames arm-elf-gcc -Os] || 4.3.2 (GCC) || 20543982 || 2066453 || 3804 (12564) || 0 (24) || 32 (2520) || 404(404) || Checksum OK || [wiki:r2012runs_303 Run 303]
|20120120 || clix || [wiki:r2012compilernames arm-elf-gcc -Os] || 4.3.2 (GCC) || 20543982 || 2066453 || 3804 (12564) || 0 (24) || 32 (2520) || 404(404) || Checksum OK || [wiki:r2012runs_304 Run 304]
|20120216 || clix || [wiki:r2012compilernames arm-elf-gcc -Os] || 4.3.2 (GCC) || 20543993 || 2066454 || 3804 (12564) || 0 (24) || 32 (2520) || 404(404) || Checksum OK || [wiki:r2012runs_320 Run 320]
|20120509 || clix || [wiki:r2012compilernames arm-elf-gcc -Os] || 4.3.2 (GCC) || 20543947 || 2066449 || 3804 (12564) || 0 (24) || 32 (2520) || 404(404) || Checksum OK || [wiki:r2012runs_323 Run 323]
|20120510 || clix || [wiki:r2012compilernames arm-elf-gcc -Os] || 4.3.2 (GCC) || 20543951 || 2066450 || 3804 (12564) || 0 (24) || 32 (2520) || 404(404) || Checksum OK || [wiki:r2012runs_324 Run 324]
