| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20120117 || clix || [wiki:r2012compilernames arm-elf-gcc -O2] || 4.3.2 (GCC) || 19820709 || 2014703 || 3916 (13204) || 192 (216) || 32 (2520) || 388(388) || Checksum OK || [wiki:r2012runs_303 Run 303]
|20120120 || clix || [wiki:r2012compilernames arm-elf-gcc -O2] || 4.3.2 (GCC) || 19820709 || 2014703 || 3916 (13204) || 192 (216) || 32 (2520) || 388(388) || Checksum OK || [wiki:r2012runs_304 Run 304]
|20120216 || clix || [wiki:r2012compilernames arm-elf-gcc -O2] || 4.3.2 (GCC) || 19820720 || 2014704 || 3916 (13204) || 192 (216) || 32 (2520) || 388(388) || Checksum OK || [wiki:r2012runs_320 Run 320]
|20120509 || clix || [wiki:r2012compilernames arm-elf-gcc -O2] || 4.3.2 (GCC) || 19820676 || 2014699 || 3916 (13204) || 192 (216) || 32 (2520) || 388(388) || Checksum OK || [wiki:r2012runs_323 Run 323]
|20120510 || clix || [wiki:r2012compilernames arm-elf-gcc -O2] || 4.3.2 (GCC) || 19820679 || 2014700 || 3916 (13204) || 192 (216) || 32 (2520) || 388(388) || Checksum OK || [wiki:r2012runs_324 Run 324]
|20120117 || clix || [wiki:r2012compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || 19810019 || 2016836 || 5168 (15596) || 192 (216) || 32 (2520) || 444(444) || Checksum OK || [wiki:r2012runs_303 Run 303]
|20120120 || clix || [wiki:r2012compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || 19810019 || 2016836 || 5168 (15596) || 192 (216) || 32 (2520) || 444(444) || Checksum OK || [wiki:r2012runs_304 Run 304]
|20120216 || clix || [wiki:r2012compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || 19810030 || 2016837 || 5168 (15596) || 192 (216) || 32 (2520) || 444(444) || Checksum OK || [wiki:r2012runs_320 Run 320]
|20120509 || clix || [wiki:r2012compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || 19809986 || 2016833 || 5168 (15596) || 192 (216) || 32 (2520) || 444(444) || Checksum OK || [wiki:r2012runs_323 Run 323]
|20120510 || clix || [wiki:r2012compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || 19809989 || 2016833 || 5168 (15596) || 192 (216) || 32 (2520) || 444(444) || Checksum OK || [wiki:r2012runs_324 Run 324]
|20120117 || clix || [wiki:r2012compilernames arm-elf-gcc -Os] || 4.3.2 (GCC) || 26349184 || 2666229 || 3832 (12592) || 192 (216) || 32 (2520) || 400(400) || Checksum OK || [wiki:r2012runs_303 Run 303]
|20120120 || clix || [wiki:r2012compilernames arm-elf-gcc -Os] || 4.3.2 (GCC) || 26349184 || 2666229 || 3832 (12592) || 192 (216) || 32 (2520) || 400(400) || Checksum OK || [wiki:r2012runs_304 Run 304]
|20120216 || clix || [wiki:r2012compilernames arm-elf-gcc -Os] || 4.3.2 (GCC) || 26349198 || 2666230 || 3832 (12592) || 192 (216) || 32 (2520) || 400(400) || Checksum OK || [wiki:r2012runs_320 Run 320]
|20120509 || clix || [wiki:r2012compilernames arm-elf-gcc -Os] || 4.3.2 (GCC) || 26349140 || 2666224 || 3832 (12592) || 192 (216) || 32 (2520) || 400(400) || Checksum OK || [wiki:r2012runs_323 Run 323]
|20120510 || clix || [wiki:r2012compilernames arm-elf-gcc -Os] || 4.3.2 (GCC) || 26349144 || 2666225 || 3832 (12592) || 192 (216) || 32 (2520) || 400(400) || Checksum OK || [wiki:r2012runs_324 Run 324]
