| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20120117 || clix || [wiki:r2012compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 5485120 || 268627 || 23556 (46598) || 0 (388) || 0 (2828) || 496(504) || Checksum OK || [wiki:r2012runs_307 Run 307]
|20120120 || clix || [wiki:r2012compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 5491238 || 268776 || 23556 (46598) || 0 (388) || 0 (2828) || 496(504) || Checksum OK || [wiki:r2012runs_308 Run 308]
|20120117 || clix || [wiki:r2012compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 1933953 || 140199 || 13160 (29918) || 0 (384) || 0 (2828) || 2028(2044) || Checksum OK || [wiki:r2012runs_307 Run 307]
|20120120 || clix || [wiki:r2012compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 1933953 || 140199 || 13160 (29918) || 0 (384) || 0 (2828) || 2028(2044) || Checksum OK || [wiki:r2012runs_308 Run 308]
|20120117 || clix || [wiki:r2012compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 1965191 || 145086 || 17104 (33706) || 0 (384) || 0 (2828) || 3316(3324) || Checksum OK || [wiki:r2012runs_307 Run 307]
|20120120 || clix || [wiki:r2012compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 1966089 || 145286 || 17104 (33706) || 0 (384) || 0 (2828) || 3316(3324) || Checksum OK || [wiki:r2012runs_308 Run 308]
|20120117 || clix || [wiki:r2012compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 1957810 || 144854 || 17140 (34798) || 0 (384) || 0 (2824) || 3324(3340) || Checksum OK || [wiki:r2012runs_307 Run 307]
|20120120 || clix || [wiki:r2012compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 1952324 || 144870 || 17140 (34798) || 0 (384) || 0 (2824) || 3324(3340) || Checksum OK || [wiki:r2012runs_308 Run 308]
|20120117 || clix || [wiki:r2012compilernames armeb-uclibc-gcc -Os] || 4.1.2 || 2371457 || 198702 || 21384 (37562) || 0 (384) || 0 (2828) || 4656(4672) || Checksum OK || [wiki:r2012runs_307 Run 307]
|20120120 || clix || [wiki:r2012compilernames armeb-uclibc-gcc -Os] || 4.1.2 || 2373335 || 198852 || 21384 (37562) || 0 (384) || 0 (2828) || 4656(4672) || Checksum OK || [wiki:r2012runs_308 Run 308]
